user,comment,clean_comment
@KijangKeke,Bagusss,bagusss
@DablongTok,P apik keren,p apik keren
@NugrahaArta-x3y,enak Nye rooooooooooooooor,enak nye rooooooooooooooor
@MeiiPandengsolang,Menyala kali,menyala kali
@Phace-w4w,Caandduu bngt pg² denger lagu ini 🔥🎉,caandduu bngt pg denger lagu ini 
@ADRRADEN,😂 younglex, younglex
@DarrelAdli6,Selalu asik untuk didengarkan musik DJ calon mantu terbaik mamamu,selalu asik untuk didengarkan musik dj calon mantu terbaik mamamu
@PriyantiPrilijaya,Bejirr keren bangt👍👍,bejirr keren bangt
@LogaySaayana,Anjay asik,anjay asik
@fatasyalanihapsari2795,mantap,mantap
@JamiatiDuha,dj  pas,dj  pas
@farukfachrurrozi7145,Keren,keren
@Husnull15,Menyala abangku ❤❤❤❤❤❤❤❤😊😊😊😊😊😊😊😊,menyala abangku 
@acilpratama8225,ini nih yang cari-cari 🤭🔥🔥🔥,ini nih yang caricari 
@papailias9246,Muantap,muantap
@ikamaylla1309,"Asem bang
❤❤❤❤❤❤❤🎉🎉🎉","asem bang
"
@kenyokusuma1622,❤❤❤,
@MANGNUM-l5t,sedap nyee,sedap nyee
@AlfinoAkbarArdhani,Anjayyyyyyyy,anjayyyyyyyy
@muhammadgunawan5803,🤘😋,
@AsrafRavel,iya teri makasih😊😊😊😊😊😊😊😊,iya teri makasih
@redekuy007,Gua stel buat backsound lomba kemarin,gua stel buat backsound lomba kemarin
@nailachedal962,Bagus banget lagu nya 😊😊,bagus banget lagu nya 
@AndraIndra-sl2ed,terimakasih,terimakasih
@AnitEryck-bl1is,Lucu banget❤,lucu banget
@DJNORIN,Izin meramaikan mas 🙏🏻,izin meramaikan mas 
@zybcaaaa,2:49 serasa di edit🗿,249 serasa di edit
@ikamaylla1309,Asek bang😘😘😘😘😘😘😘🫡🫡🫡🫡🫡🫡💥💥💥🤤🙂‍↔️🤯🤯🤯🤯😸😸😸😸😸,asek bang
@kenyokusuma1622,Matab🎉❤,matab
@IrulMukong,Akusuka,akusuka
@HazuLink,"entah dri kapan suka lagu ini , berawal suka dj remix

salam dari Jabar cirebon 👍👍","entah dri kapan suka lagu ini  berawal suka dj remix

salam dari jabar cirebon "
@AdeeChullo,Ini yang papa cariii,ini yang papa cariii
@adelianovitasari4498,🤩,
@IlahiWahyu-k4q,Beuh ngena kali cok🤙🤙🤙🤟🤞,beuh ngena kali cok
@real_official789,Enjoy,enjoy
@sudaysudiro4200,💃💃💃💃,
@arnintosa3892,bang cmn nanya ini tdk kena royalti kan😁😁klw dengar lagi ini,bang cmn nanya ini tdk kena royalti kanklw dengar lagi ini
@GebbyShantika,😊😊😊😊,
@AskalOeyy,Enak bettt cokk anjeenkkk asssssuiii konnn...😭🔥❤,enak bettt cokk anjeenkkk asssssuiii konnn
@WiewiDewi,❤😊😊😊😊😊😊😊😊,
@LailaAgustiningsi,Mntap,mntap
@dianIrawan-w7f,😮❤❤❤❤❤❤❤❤saaen,saaen
@khaylaaarorrrr,🤔 mengingatkan saya..., mengingatkan saya
@devariana6155,❤❤❤❤❤❤❤❤❤❤❤❤,
@AdeliaYulia,Mantap 17:17  sampe akhirr candu 🥳😭,mantap 1717  sampe akhirr candu 
@MeriPadang,❤,
@zullz1u,asik🕺,asik
@WiewiDewi,❤😊😊😊😊😊,
@AlfinoAkbarArdhani,Aku cok,aku cok
@WiewiDewi,🇦🇪😍,
@ansyahaja,enak,enak
@NazrinnMiko,Lagu knee” ba ni,lagu knee ba ni
@asukirek6663,pokok nya m antap lagu nya,pokok nya m antap lagu nya
@yantovivo6133,Lagu nya enak di dengar,lagu nya enak di dengar
@MHDAMIRMHDAMIR-k9e,ini yg gw cari cari,ini yg gw cari cari
@AzammAzamm-q6p,Joget joget dulu 🤣🤣🤯🤯🤯 meledak Abang ku,joget joget dulu  meledak abang ku
@MrGamesHoror,Silent night,silent night
@WatiRusmawati-vb9cf,❤❤❤❤❤❤❤abang ku,abang ku
@Suripto-i8j,wah bagus kak❤❤❤,wah bagus kak
