user,comment
@AskalOeyy,Enak bettt cokk anjeenkkk asssssuiii konnn...😭🔥❤
@WiewiDewi,❤😊😊😊😊😊😊😊😊
@LailaAgustiningsi,Mntap
@dianIrawan-w7f,😮❤❤❤❤❤❤❤❤saaen
@khaylaaarorrrr,🤔 mengingatkan saya...
@devariana6155,❤❤❤❤❤❤❤❤❤❤❤❤
@AdeliaYulia,Mantap 17:17  sampe akhirr candu 🥳😭
@MeriPadang,❤
@zullz1u,asik🕺
@WiewiDewi,❤😊😊😊😊😊
@AlfinoAkbarArdhani,Aku cok
@WiewiDewi,🇦🇪😍
@ansyahaja,enak
@NazrinnMiko,Lagu knee” ba ni
@asukirek6663,pokok nya m antap lagu nya
@yantovivo6133,Lagu nya enak di dengar
@MHDAMIRMHDAMIR-k9e,ini yg gw cari cari
@AzammAzamm-q6p,Joget joget dulu 🤣🤣🤯🤯🤯 meledak Abang ku
@MrGamesHoror,Silent night
@WatiRusmawati-vb9cf,❤❤❤❤❤❤❤abang ku
@Suripto-i8j,wah bagus kak❤❤❤
@ibukhairumi,👍👍👍👍
@dedahjubaedah6887,Bang aku udh🎉🎉🎉❤❤ ini aku azam.?😎😎🤤😝👍👍👌💘
@tomimaulana5845,Bjir lagi enak² denger pake headset sempet² nya ada iklan
@SopatiSopati-z4n4j,❤❤❤❤❤
@alviraluluadini4935,😊😊
@nayraindriani-z3i,mantap kk ❤❤❤❤
@rapitarapita47,😮😮😊😊😊
@rifqitri5142,🔥🔥
@sulfaachmad1823,Versi tabola bale campur pica pica 2
@BPAmulyana,Turnamen yang kamu 😊inginkan adalah sebuah perjalanan ke dalam hati saya ni aku akan selalu ada ada Indonesia dan pakaian yang paling kamu suka sama kamu lakukan jika bertemu dengan seorang lelaki yang
@RaditRahman-j2t3r,😊😊😊😊😊😎😎😎😎😎😎
@agusmarsono1375,ENAK BANGETLAGUNYA😊😊
@warungal-hayyan6519,Min KLO bisa buat donk lagu Timor yang lainya tapi bikin kayak gini min
@AyuBky-g2v,😊
@ahoahi1980,Lagunya bagus banget ya apalagi gemoy lagunya ada sebuah bale apa-apa gitu loh aku juga mau komen love lguys❤❤❤❤❤❤❤❤❤❤❤❤ aku juga suka soalnya dia itu nyanyinya yang celana apapun yang menarik pagi itu aku udah pernah lihat orangnyaguys❤❤
@iswatinisah5604,inara❤❤❤❤❤❤❤❤❤❤❤ ALBY
@rosmaya590,uh❤p
@dermaeviyanti9727,bagus sekali ❤❤❤❤😂😂😂🎉🎉🎉😢😢😢😮😮😮😅😅😅😅😊😊😊
@threeswellofficial441,👍
@HERAWATINENGNONG,KHumAiRA❤
@aarri221,Akhirnya ketemu yg versi ini😢😢🎉
@ViolaputriAliysa,😊❤😊❤😊❤😊❤😊❤😊❤😊
@KevinAlfarizky-c5z,💯👀👀👀👀🧠🧠🧠🧠🧠
@vinkalingga678,Lagunya bagus aku kasih 100 ⭐⭐⭐⭐⭐💯
@MaiAtun-u3u,aku
@hilariaaprilianaapriliana2874,🙏🏻
@CruenLux,Bagaimana kamu kembalikan mau dzikir aku apakah kamu kembalikan mau dzikir aku ok Google kamu agama kamu dzikir aku suka kepadamu kamu
@FirmanJayaMotor,🎉mata😅
@DimasThor-t7n,Suara nya bagus bangat bg😎😎😎😎😎😎😎😎😎😎😎😎😎🤟🤟🤘🤘🤘🤙🤙🤟😝😝😝😝😝😝
@RifNaura,enak bangeeeet ❤❤❤❤❤
@FatirRahman-w9p,Saya bukan bang
@SaifudinUjang,Lanjut baa
@iswatinisah5604,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
@DaiMennn-q9n,😂😂😂😂😂😂🎉
@KevinAlfarizky-c5z,😮😮😮😮😮😮
@LitaSari-k8c,Seni rupa Najwa nelo Eropa
@JEPANGORANG,Truk buat kamu mau
@AtanasioMoriyra,Lagu.  Bagus🫰💋💋
@megamegi-z9f,ioi
@AgusmanFikri,lagu enak baget cuiiiiiiiiiiiiiiiiiii
@MonikaRombe-z1c,Nanti aja itu
@Realmenote60-x1x,Saya
@RamadhanLiing-o5l,DJ 🤟🏻😜😎🕺🏻🌪️☘️🍃🌿🐯🎉
@IcaArmidaIcaa,Iya dong namanya juga joget bolak-balik
@ArianaAna-d9q,❤️•᷄‎ࡇ•᷅AF joy 😊
@LitaSari-k8c,Hanifa Alika little Putri Alila Alila non ay nur ayu Nayla Amira davia Devia Afifah Aisyah
